tt1074638,Skyfall,"Action, Adventure, Thriller"
tt0903624,The Hobbit: An Unexpected Journey,"Adventure, Fantasy"
tt0417741,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family"
tt1325004,The Twilight Saga: Eclipse,"Adventure, Drama, Fantasy"
tt1259571,The Twilight Saga: New Moon,"Adventure, Drama, Fantasy"
tt0926084,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy"
tt0167404,The Sixth Sense,"Drama, Mystery, Thriller"
tt1049413,Up,"Animation, Adventure, Comedy"
tt1375666,Inception,"Action, Adventure, Sci-Fi"
tt0373889,Harry Potter and the Order of the Phoenix,"Action, Adventure, Family"
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy"
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy"
tt0770828,Man of Steel,"Action, Adventure, Sci-Fi"
tt0330373,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy"
tt0198781,"Monsters, Inc.","Animation, Adventure, Comedy"
tt0099785,Home Alone,"Comedy, Family"
tt1951266,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi"
tt0234215,The Matrix Reloaded,"Action, Sci-Fi"
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy"
tt0290002,Meet the Fockers,"Comedy, Romance"
tt1119646,The Hangover,Comedy
tt1454468,Gravity,"Drama, Sci-Fi, Thriller"
tt2709692,The Grinch,"Animation, Comedy, Family"
tt3470600,Sing,"Animation, Comedy, Family"
tt1453405,Monsters University,"Animation, Adventure, Comedy"
tt0126029,Shrek,"Animation, Adventure, Comedy"
tt3469046,Despicable Me 3,"Animation, Adventure, Comedy"
tt0295297,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy"
tt0948470,The Amazing Spider-Man,"Action, Adventure, Sci-Fi"
tt0317705,The Incredibles,"Animation, Action, Adventure"
tt0073195,Jaws,"Adventure, Thriller"
tt0170016,How the Grinch Stole Christmas,"Comedy, Family, Fantasy"
tt1843866,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi"
tt1170358,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy"
tt1490017,The Lego Movie,"Animation, Action, Adventure"
tt0796366,Star Trek,"Action, Adventure, Sci-Fi"
tt0480249,I Am Legend,"Action, Adventure, Drama"
tt0878804,The Blind Side,"Biography, Drama, Sport"
tt2310332,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy"
tt1411697,The Hangover Part II,Comedy
tt1323594,Despicable Me,"Animation, Comedy, Family"
tt0096895,Batman,"Action, Adventure"
tt0477347,Night at the Museum,"Adventure, Comedy, Family"
tt0119654,Men in Black,"Action, Adventure, Comedy"
tt0304141,Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy"
tt3521164,Moana,"Animation, Adventure, Comedy"
tt0082971,Raiders of the Lost Ark,"Action, Adventure"
tt0120363,Toy Story 2,"Animation, Adventure, Comedy"
tt2109248,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi"
tt0317219,Cars,"Animation, Comedy, Family"
tt0087332,Ghostbusters,"Action, Comedy, Fantasy"
tt0315327,Bruce Almighty,"Comedy, Fantasy"
tt0117998,Twister,"Action, Adventure, Thriller"
tt0259446,My Big Fat Greek Wedding,"Comedy, Drama, Romance"
tt1587310,Maleficent,"Action, Adventure, Family"
tt1298650,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy"
tt0892791,Shrek Forever After,"Animation, Adventure, Comedy"
tt1905041,Furious 6,"Action, Adventure, Thriller"
tt1217209,Brave,"Animation, Adventure, Comedy"
tt1623205,Oz the Great and Powerful,"Adventure, Family, Fantasy"
tt0086960,Beverly Hills Cop,"Action, Comedy, Crime"
tt0376994,X-Men: The Last Stand,"Action, Adventure, Sci-Fi"
tt0407304,War of the Worlds,"Adventure, Sci-Fi, Thriller"
tt3183660,Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy"
tt1877832,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi"
tt0162222,Cast Away,"Adventure, Drama, Romance"
tt0070047,The Exorcist,Horror
tt1211837,Doctor Strange,"Action, Adventure, Fantasy"
tt0119567,The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi"
tt0974015,Justice League,"Action, Adventure, Fantasy"
tt1408101,Star Trek Into Darkness,"Action, Adventure, Sci-Fi"
tt3659388,The Martian,"Adventure, Drama, Sci-Fi"
tt0286106,Signs,"Drama, Mystery, Sci-Fi"
tt0448157,Hancock,"Action, Fantasy"
tt0440963,The Bourne Ultimatum,"Action, Mystery, Thriller"
tt3315342,Logan,"Action, Drama, Sci-Fi"
tt0266915,Rush Hour 2,"Action, Comedy, Crime"
tt4630562,The Fate of the Furious,"Action, Adventure, Crime"
tt0910970,WALL·E,"Animation, Adventure, Family"
tt2245084,Big Hero 6,"Animation, Action, Adventure"
tt0114709,Toy Story,"Animation, Adventure, Comedy"
tt4912910,Mission: Impossible - Fallout,"Action, Adventure, Thriller"
tt0465234,National Treasure: Book of Secrets,"Action, Adventure, Mystery"
tt1231580,Alvin and the Chipmunks: The Squeakquel,"Animation, Comedy, Family"
tt0107614,Mrs. Doubtfire,"Comedy, Drama, Family"
tt0101414,Beauty and the Beast,"Animation, Family, Fantasy"
tt1637725,Ted,Comedy
tt0360717,King Kong,"Action, Adventure, Drama"
tt0099653,Ghost,"Drama, Fantasy, Romance"
tt0892769,How to Train Your Dragon,"Animation, Action, Adventure"
tt0382625,The Da Vinci Code,"Mystery, Thriller"
tt0103639,Aladdin,"Animation, Adventure, Comedy"
tt0952640,Alvin and the Chipmunks,"Animation, Comedy, Family"
tt0120815,Saving Private Ryan,"Drama, War"
tt1727824,Bohemian Rhapsody,"Biography, Drama, Music"
tt5095030,Ant-Man and the Wasp,"Action, Adventure, Comedy"
tt1277953,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy"
tt0441773,Kung Fu Panda,"Animation, Action, Adventure"
tt0120755,Mission: Impossible II,"Action, Adventure, Thriller"
tt1517451,A Star Is Born,"Drama, Music, Romance"
tt0290334,X2,"Action, Sci-Fi, Thriller"
tt1482459,The Lorax,"Animation, Adventure, Comedy"
tt3778644,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi"
tt1270797,Venom,"Action, Adventure, Sci-Fi"
tt0295178,Austin Powers in Goldmember,"Action, Adventure, Comedy"
tt7349950,It Chapter Two,"Drama, Fantasy, Horror"
tt0088763,Back to the Future,"Adventure, Comedy, Sci-Fi"
tt0416449,300,"Action, Drama"
tt1596343,Fast Five,"Action, Adventure, Crime"
tt2380307,Coco,"Animation, Adventure, Family"
tt1229238,Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller"
tt0396269,Wedding Crashers,"Comedy, Romance"
tt0988045,Sherlock Holmes,"Action, Adventure, Mystery"
tt2103281,Dawn of the Planet of the Apes,"Action, Adventure, Drama"
tt0372784,Batman Begins,"Action, Adventure"
tt0367594,Charlie and the Chocolate Factory,"Adventure, Comedy, Family"
tt0382932,Ratatouille,"Animation, Adventure, Comedy"
tt1981115,Thor: The Dark World,"Action, Adventure, Fantasy"
tt0145660,Austin Powers: The Spy Who Shagged Me,"Action, Adventure, Comedy"
tt0103064,Terminator 2: Judgment Day,"Action, Sci-Fi"
tt1502397,Bad Boys for Life,"Action, Comedy, Crime"
tt1872181,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi"
tt0816711,World War Z,"Action, Adventure, Horror"
tt0209163,The Mummy Returns,"Action, Adventure, Fantasy"
tt0120591,Armageddon,"Action, Adventure, Sci-Fi"
tt1661199,Cinderella,"Drama, Family, Fantasy"
tt5848272,Ralph Breaks the Internet,"Animation, Adventure, Comedy"
tt0031381,Gone with the Wind,"Drama, History, Romance"
tt0398286,Tangled,"Animation, Adventure, Comedy"
tt0831387,Godzilla,"Action, Adventure, Sci-Fi"
tt0348150,Superman Returns,"Action, Sci-Fi"
tt2379713,Spectre,"Action, Adventure, Thriller"
tt0213149,Pearl Harbor,"Action, Drama, History"
tt0892782,Monsters vs. Aliens,"Animation, Action, Adventure"
tt0366548,Happy Feet,"Animation, Adventure, Comedy"
tt0097576,Indiana Jones and the Last Crusade,"Action, Adventure"
tt1080016,Ice Age: Dawn of the Dinosaurs,"Animation, Adventure, Comedy"
tt0438097,Ice Age: The Meltdown,"Animation, Adventure, Comedy"
tt2381249,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller"
tt1099212,Twilight,"Drama, Fantasy, Romance"
tt0120912,Men in Black II,"Action, Adventure, Comedy"
tt0351283,Madagascar,"Animation, Adventure, Comedy"
tt2294449,22 Jump Street,"Action, Comedy, Crime"
tt1216475,Cars 2,"Animation, Adventure, Comedy"
tt1291150,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy"
tt4633694,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure"
tt0077631,Grease,"Musical, Romance"
tt5013056,Dunkirk,"Action, Drama, History"
tt1772341,Wreck-It Ralph,"Animation, Adventure, Comedy"
tt6644200,A Quiet Place,"Drama, Horror, Sci-Fi"
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi"
tt0172495,Gladiator,"Action, Adventure, Drama"
tt0338348,The Polar Express,"Animation, Adventure, Comedy"
tt0481499,The Croods,"Animation, Action, Adventure"
tt1515091,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery"
tt0319262,The Day After Tomorrow,"Action, Adventure, Sci-Fi"
tt0356910,Mr. & Mrs. Smith,"Action, Comedy, Crime"
