imdb_movies
id,title,genre
tt0009475,A Pair of Silk Stockings,"Comedy, Romance"
tt0009559,A Romance of Happy Valley,"Drama, Romance"
tt0009608,Shifting Sands,Drama
tt0009611,Charlot soldato,"Comedy, War"
tt0009652,Stella Maris,Drama
tt0009682,Tarzan of the Apes,"Action, Adventure"
tt0009701,Tih Minh,"Adventure, Mystery"
tt0009737,The Unbeliever,"Drama, War"
tt0009796,The Whispering Chorus,Drama
tt0009878,Anders als die Andern,"Crime, Drama, History"
tt0009892,Ravished Armenia,"Drama, History, Romance"
tt0009893,La principessa delle ostriche,Comedy
tt0009894,El automóvil gris,"Action, Crime"
tt0009900,Il ritorno al paradiso terrestre,"Adventure, Romance, Western"
tt0009915,Behind the Door,"Drama, Thriller, War"
tt0009937,Mariti ciechi,"Drama, Romance"
tt0009968,Giglio infranto,"Drama, Romance"
tt0009976,The Busher,"Drama, Sport"
tt0010040,Daddy-Long-Legs,"Comedy, Drama"
tt0010060,The Delicious Little Devil,"Comedy, Drama"
tt0010071,Don't Change Your Husband,Comedy
tt0010103,Eyes of Youth,Drama
tt0010137,"For Better, for Worse",Drama
tt0010162,Getting Mary Married,Comedy
tt0010193,The Greatest Question,Drama
tt0010195,The Grim Game,"Adventure, Drama"
tt0010208,Harakiri,Drama
tt0010219,Hawthorne of the U.S.A.,"Adventure, Comedy, Romance"
tt0010227,Heart o' the Hills,"Drama, Romance"
tt0010247,Il tesoro di Arne,"Drama, History"
tt0010267,The Hoodlum,Comedy
tt0010281,Non vorrei essere un uomo,"Comedy, Romance"
tt0010298,Ingmarssönerna,Drama
tt0010307,Per la patria,"Drama, Horror, War"
tt0010323,Il gabinetto del dottor Caligari,"Fantasy, Horror, Mystery"
tt0010418,Male and Female,"Adventure, Drama"
tt0010456,Meyer il berlinese,Comedy
tt0010466,The Miracle Man,Drama
tt0010484,The Mother and the Law,Drama
tt0010559,Die Pest in Florenz,"Drama, History, Horror"
tt0010598,Præsidenten,Drama
