0926084,Harry Poer and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy"
0167404,The Sixth Sense,"Drama, Mystery, Thriller"
1049413,Up,"Animation, Adventure, Comedy"
1375666,Inception,"Action, Adventure, Sci-Fi"
0373889,Harry Poer and the Order of the Phoenix,"Action, Adventure, Family"
1673434,The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Drama, Fantasy"
0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy"
0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy"
0770828,Man of Steel,"Action, Adventure, Sci-Fi"
0330373,Harry Poer and the Goblet of Fire,"Adventure, Family, Fantasy"
0198781,"Monsters, Inc.","Animation, Adventure, Comedy"
0099785,Home Alone,"Comedy, Family"
1951266,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi"
0234215,The Matrix Reloaded,"Action, Sci-Fi"
1324999,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy"
0290002,Meet the Fockers,"Comedy, Romance"
1119646,The Hangover,Comedy
1454468,Gravity,"Drama, Sci-Fi, Thriller"
2709692,The Grinch,"Animation, Comedy, Family"
3470600,Sing,"Animation, Comedy, Family"
1453405,Monsters University,"Animation, Adventure, Comedy"
0126029,Shrek,"Animation, Adventure, Comedy"
3469046,Despicable Me 3,"Animation, Adventure, Comedy"
0295297,Harry Poer and the Chamber of Secrets,"Adventure, Family, Fantasy"
0948470,The Amazing Spider-Man,"Action, Adventure, Sci-Fi"
0317705,The Incredibles,"Animation, Action, Adventure"
0073195,Jaws,"Adventure, Thriller"
0170016,How the Grinch Stole Christmas,"Comedy, Family, Fantasy"
1843866,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi"
1170358,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy"
1490017,The Lego Movie,"Animation, Action, Adventure"
0796366,Star Trek,"Action, Adventure, Sci-Fi"
0480249,I Am Legend,"Action, Adventure, Drama"
0878804,The Blind Side,"Biography, Drama, Sport"
2310332,The Hobbit: The Bale of the Five Armies,"Adventure, Fantasy"
1411697,The Hangover Part II,Comedy
1323594,Despicable Me,"Animation, Comedy, Family"
0096895,Batman,"Action, Adventure"
0477347,Night at the Museum,"Adventure, Comedy, Family"
0119654,Men in Black,"Action, Adventure, Comedy"
0304141,Harry Poer and the Prisoner of Azkaban,"Adventure, Family, Fantasy"
3521164,Moana,"Animation, Adventure, Comedy"
0082971,Raiders of the Lost Ark,"Action, Adventure"
0120363,Toy Story 2,"Animation, Adventure, Comedy"
2109248,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi"
0317219,Cars,"Animation, Comedy, Family"
0087332,Ghostbusters,"Action, Comedy, Fantasy"
0315327,Bruce Almighty,"Comedy, Fantasy"
0117998,Twister,"Action, Adventure, Thriller"
0259446,My Big Fat Greek Wedding,"Comedy, Drama, Romance"
1587310,Maleficent,"Action, Adventure, Family"
1298650,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy"
0892791,Shrek Forever After,"Animation, Adventure, Comedy"
1905041,Furious 6,"Action, Adventure, Thriller"
1217209,Brave,"Animation, Adventure, Comedy"
1623205,Oz the Great and Powerful,"Adventure, Family, Fantasy"
0086960,Beverly Hills Cop,"Action, Comedy, Crime"
0376994,X-Men: The Last Stand,"Action, Adventure, Sci-Fi"
0407304,War of the Worlds,"Adventure, Sci-Fi, Thriller"
3183660,Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy"
